City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Adrar,MR,20.5022,-10.0711,89.19,13,0,7.63,clear sky
201,Menongue,AO,-14.6585,17.691,72.66,84,100,4.61,moderate rain
202,Victoria,HK,22.2855,114.1577,73.0,86,72,1.01,broken clouds
203,Karasburg,NA,-28.0167,18.75,81.05,27,16,14.47,few clouds
204,Eregli,TR,37.5133,34.0467,49.14,71,72,2.95,broken clouds
205,Klaksvik,FO,62.2266,-6.589,41.0,87,75,8.05,broken clouds
206,Gazli,UZ,40.1333,63.45,36.52,59,0,9.4,clear sky
207,Pundri,IN,29.75,76.55,71.94,25,70,5.77,broken clouds
208,Kargil,IN,34.5667,76.1,20.88,61,90,5.21,overcast clouds
209,Oksfjord,NO,70.2396,22.3479,32.0,80,40,13.8,scattered clouds
210,Partur,IN,19.6,76.2167,82.49,16,0,3.27,clear sky
211,Ginda,IN,30.6945,78.4932,73.4,43,40,3.44,haze
212,Guanica,PR,17.9716,-66.908,84.99,55,21,8.99,few clouds
213,Sorland,NO,67.667,12.6934,37.4,65,20,4.61,few clouds
214,Rognan,NO,67.0953,15.3878,37.99,77,99,4.29,overcast clouds
215,Bezenchuk,RU,52.982,49.4333,14.22,89,58,9.53,broken clouds
216,Florianopolis,BR,-27.6146,-48.5012,84.0,74,20,11.5,few clouds
217,Saurimo,AO,-9.6608,20.3916,87.8,48,75,2.59,light rain
218,Neuquen,AR,-38.9516,-68.0591,78.8,53,0,2.3,clear sky
219,Yanam,IN,16.7333,82.2167,80.6,69,40,8.05,haze
220,Lyubytino,RU,58.8122,33.3922,33.1,95,100,9.13,overcast clouds
221,Barra Do Garcas,BR,-15.89,-52.2567,86.0,62,75,2.3,broken clouds
222,Ambilobe,MG,-13.2,49.05,76.57,92,100,2.08,overcast clouds
223,Morondava,MG,-20.2833,44.2833,83.01,73,2,8.41,clear sky
224,Ayorou,NE,14.7308,0.9174,100.47,10,24,9.4,few clouds
225,Korce,AL,40.6186,20.7808,41.0,70,40,9.22,scattered clouds
226,Kruisfontein,ZA,-34.0033,24.7314,71.01,78,44,11.99,scattered clouds
227,Gimbi,ET,9.1667,35.8333,70.29,33,100,1.61,overcast clouds
228,Makrana,IN,27.05,74.7167,76.75,24,60,7.11,broken clouds
229,Sudbury,CA,46.49,-80.99,17.01,40,1,4.61,clear sky
230,Dire,ML,12.2833,-10.9667,104.76,9,0,4.99,clear sky
231,Karla,EE,59.3723,24.9275,34.0,86,75,13.8,broken clouds
232,Salinas,US,36.6777,-121.6555,48.2,76,20,4.61,few clouds
233,Agapovka,RU,53.2973,59.1348,12.2,67,20,13.42,few clouds
234,Aylesbury,GB,51.8167,-0.8146,53.01,65,77,5.01,broken clouds
235,Mtambile,TZ,-5.3833,39.7,82.35,67,0,11.21,clear sky
236,Lovozero,RU,68.005,35.0117,17.87,98,76,0.83,broken clouds
237,Campina Verde,BR,-19.5356,-49.4864,82.62,62,65,4.23,broken clouds
238,Murgab,TM,37.4966,61.9714,44.6,45,0,6.91,clear sky
239,Marsh Harbour,BS,26.5412,-77.0636,73.06,60,0,8.08,clear sky
