City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Pisco,PE,2021-03-05 11:00:02,-13.7,-76.2167,73.4,83,20,4.61
184,Bobrov,RU,2021-03-05 11:00:02,51.0961,40.0333,31.87,79,96,6.67
185,Krapivinskiy,RU,2021-03-05 11:00:04,54.9992,86.8133,28.4,74,75,20.13
186,Sapele,NG,2021-03-05 11:00:04,5.8941,5.6767,95.85,47,70,2.3
187,Porto Santo,PT,2021-03-05 11:00:06,33.072,-16.3415,62.6,77,40,24.16
188,Puksoozero,RU,2021-03-05 11:00:07,62.5903,40.6066,10.96,86,100,6.24
189,Sao Joao Da Barra,BR,2021-03-05 11:00:09,-21.6403,-41.0511,77.0,83,20,4.61
190,Parabel,RU,2021-03-05 11:00:12,58.6978,81.4825,29.53,93,100,10.65
191,Santa Rosa,PH,2021-03-05 11:00:14,14.3122,121.1114,86.0,62,20,10.36
192,Altoona,US,2021-03-05 11:00:16,40.5187,-78.3947,17.01,71,0,5.01
193,Chuy,UY,2021-03-05 11:00:21,-33.6971,-53.4616,70.5,88,4,10.54
194,Prigoria,RO,2021-03-05 11:00:23,45.0667,23.6833,57.81,34,94,10.63
195,Ariquemes,BR,2021-03-05 11:00:26,-9.9133,-63.0408,71.96,97,100,0.98
196,Zapolyarnyy,RU,2021-03-05 11:00:28,69.4154,30.8136,19.4,79,20,8.99
197,Upernavik,GL,2021-03-05 11:00:30,72.7868,-56.1549,-15.29,84,72,16.69
198,Misasi,TZ,2021-03-05 11:00:31,-3.0,33.0833,81.91,55,100,4.41
199,Afua,BR,2021-03-05 11:00:33,-0.1567,-50.3867,76.78,91,100,3.11
200,Lagdo,CM,2021-03-05 11:00:36,9.05,13.7333,95.0,8,0,8.05
201,Iqaluit,CA,2021-03-05 11:00:01,63.7506,-68.5145,6.8,78,75,24.16
202,Onega,RU,2021-03-05 11:00:38,63.9061,38.1404,11.17,88,85,7.65
203,Mungaa,TZ,2021-03-05 11:00:39,-4.9667,34.8833,73.42,78,100,1.19
204,Kita,ML,2021-03-05 11:00:40,13.0349,-9.4895,95.83,9,0,9.84
205,Kargil,IN,2021-03-05 11:00:42,34.5667,76.1,24.26,69,9,0.58
206,Gomel,BY,2021-03-05 11:00:43,52.4345,30.9754,33.8,55,75,8.95
207,Cancun,MX,2021-03-05 10:57:46,21.1743,-86.8466,77.0,100,40,5.23
208,Pucallpa,PE,2021-03-05 11:00:44,-8.3791,-74.5539,69.84,98,100,0.87
209,Miandrivazo,MG,2021-03-05 11:00:46,-19.5167,45.4667,75.92,90,100,4.05
210,Lubao,PH,2021-03-05 11:00:47,14.9167,120.55,86.0,61,40,6.91
211,Zyukayka,RU,2021-03-05 11:00:48,58.2025,54.7003,19.11,76,65,10.54
212,Awjilah,LY,2021-03-05 11:00:48,29.1081,21.2869,72.88,17,30,15.3
213,Moissala,TD,2021-03-05 11:00:49,8.3404,17.7663,103.46,7,0,7.61
214,Lebu,CL,2021-03-05 11:00:49,-37.6167,-73.65,56.71,93,5,11.56
215,Araouane,ML,2021-03-05 11:00:50,18.9048,-3.5265,83.61,9,0,15.99
216,Oranjemund,NA,2021-03-05 11:00:12,-28.55,16.4333,68.88,65,0,12.53
217,Camacha,PT,2021-03-05 11:01:19,33.0833,-16.3333,62.6,77,40,24.16
218,Tshane,BW,2021-03-05 11:01:21,-24.0196,21.8684,89.11,17,0,3.74
219,Mersin,TR,2021-03-05 11:01:23,36.862,34.6509,68.0,40,0,5.75
220,Dhidhdhoo,MV,2021-03-05 11:01:23,6.8833,73.1,82.44,76,3,13.85
221,Marsa Matruh,EG,2021-03-05 11:01:26,31.3525,27.2453,64.4,55,0,5.75
222,Linden,GY,2021-03-05 11:01:29,6.0,-58.3,73.4,94,75,2.3
223,Appingedam,NL,2021-03-05 11:01:29,53.3217,6.8583,42.01,56,40,8.05
224,Praia Da Vitoria,PT,2021-03-05 11:01:32,38.7333,-27.0667,60.01,93,20,5.26
225,Puerto Narino,CO,2021-03-05 11:01:32,-3.7703,-70.3831,73.4,100,75,2.3
226,Rafai,CF,2021-03-05 11:01:33,4.95,23.9167,103.44,9,82,6.73
227,Bull Savanna,JM,2021-03-05 11:01:33,17.8868,-77.5902,70.05,83,1,4.21
228,Abu Samrah,SY,2021-03-05 11:01:33,35.3029,37.1841,61.32,51,0,21.9
229,Kerpen,DE,2021-03-05 11:01:34,50.8667,6.7,39.99,65,40,12.66
230,Ampanihy,MG,2021-03-05 11:01:35,-24.7,44.75,89.08,46,45,2.77
231,Rivera,UY,2021-03-05 11:01:36,-30.9053,-55.5508,67.23,94,88,10.02
232,Kabompo,ZM,2021-03-05 11:01:37,-13.5927,24.2008,80.62,63,33,4.0
233,Kruisfontein,ZA,2021-03-05 11:01:39,-34.0033,24.7314,79.0,54,0,8.99
234,Mantua,IT,2021-03-05 11:01:41,45.1667,10.7833,59.0,66,52,8.05
235,Muhos,FI,2021-03-05 11:01:42,64.808,25.9931,19.99,67,0,4.61
236,La Paz,BO,2021-03-05 10:57:39,-16.5,-68.15,41.0,100,75,2.3
237,Arlit,NE,2021-03-05 11:01:43,18.7369,7.3853,87.87,7,100,1.59
238,Talnakh,RU,2021-03-05 11:01:44,69.4865,88.3972,-8.3,90,85,5.28
239,Kudahuvadhoo,MV,2021-03-05 11:01:49,2.6708,72.8944,83.73,67,4,9.53
240,Buraydah,SA,2021-03-05 11:01:51,26.326,43.975,66.2,39,0,11.5
241,Bonavista,CA,2021-03-05 11:01:53,48.6499,-53.1147,33.01,80,19,6.91
242,Sabha,LY,2021-03-05 11:01:56,27.0377,14.4283,79.5,11,0,18.61
243,Okha,RU,2021-03-05 11:01:58,53.5739,142.9478,-19.32,90,93,10.2
244,Ilulissat,GL,2021-03-05 11:01:59,69.2167,-51.1,21.2,63,20,4.61
245,Carutapera,BR,2021-03-05 11:02:00,-1.195,-46.02,77.88,90,98,2.71
246,Saint Anthony,US,2021-03-05 11:02:01,45.0205,-93.218,35.6,69,90,2.55
247,Adre,TD,2021-03-05 11:02:01,13.4667,22.2,92.93,9,2,13.47
248,Qasigiannguit,GL,2021-03-05 11:02:02,68.8193,-51.1922,21.2,63,20,4.61
249,Jumla,NP,2021-03-05 11:02:03,29.2747,82.1838,54.34,28,38,8.84
250,Birjand,IR,2021-03-05 10:59:32,32.8663,59.2211,57.2,67,75,6.91
251,Bandarbeyla,SO,2021-03-05 11:02:07,9.4942,50.8122,81.34,54,1,14.16
252,Aksarka,RU,2021-03-05 11:02:09,66.5606,67.7975,4.59,95,97,3.67
